systematic_name	common_name	ensembl_transcript	refseq_transcript	entrez_id	cds_length	gc_content
ENSG00000186306	OR10T2	ENST00000334438.1	NM_001004475.1	128360	942	0.4777
ENSG00000162892	IL24	ENST00000294984.7	NM_006850.3	11009	618	0.5049
ENSG00000129007	CALML4	ENST00000467889.3	NM_033429.3	91860	459	0.5011
ENSG00000196459	TRAPPC2	ENST00000380579.6	NM_001011658.4	6399	420	0.3929
ENSG00000255423	EBLN2	ENST00000533473.1	NM_018029.4	55096	816	0.4277
ENSG00000173705	SUSD5	ENST00000309558.8	NM_015551.2	26032	1887	0.5617
ENSG00000166664	CHRFAM7A	ENST00000299847.7	NM_139320.2	89832	1236	0.5858
ENSG00000148584	A1CF	ENST00000373997.8	NM_014576.4	29974	1758	0.4716
ENSG00000119125	GDA	ENST00000358399.8	NM_004293.5	9615	1362	0.4545
ENSG00000099840	IZUMO4	ENST00000395301.8	NM_001039846.2	113177	696	0.5934
ENSG00000100031	GGT1	ENST00000400382.6	NM_001288833.2	2678	1707	0.628
ENSG00000145050	MANF	ENST00000528157.7	NM_006010.6	7873	546	0.5165
ENSG00000170873	MTSS1	ENST00000518547.6	NM_014751.6	9788	2265	0.5616
ENSG00000259956	RBM15B	ENST00000563281.2	NM_013286.5	29890	2670	0.6517
ENSG00000172771	EFCAB12	ENST00000505956.6	NM_207307.3	90288	1716	0.5624
ENSG00000168843	FSTL5	ENST00000306100.10	NM_020116.5	56884	2541	0.4195
ENSG00000162897	FCAMR	ENST00000324852.9	NM_001170631.2	83953	1731	0.5615
ENSG00000240891	PLCXD2	ENST00000636933.2	NM_001413064.1	257068	1023	0.5386
ENSG00000104154	SLC30A4	ENST00000261867.5	NM_013309.6	7782	1287	0.4437
ENSG00000004961	HCCS	ENST00000380762.5	NM_005333.5	3052	804	0.4764
ENSG00000157005	SST	ENST00000287641.4	NM_001048.4	6750	348	0.5891
ENSG00000198890	PRMT6	ENST00000370078.2	NM_018137.3	55170	1125	0.6507
ENSG00000169442	CD52	ENST00000374213.3	NM_001803.3	1043	183	0.5027
ENSG00000113916	BCL6	ENST00000406870.7	NM_001706.5	604	2118	0.5699
ENSG00000126785	RHOJ	ENST00000316754.8	NM_020663.5	57381	642	0.5218
ENSG00000196547	MAN2A2	ENST00000559717.6	NM_006122.4	4122	3450	0.5916
ENSG00000144130	NT5DC4	ENST00000688554.1	NM_001393655.1	284958	1365	0.5641
ENSG00000185155	MIXL1	ENST00000366810.6	NM_031944.3	83881	696	0.6624
ENSG00000125484	GTF3C4	ENST00000372146.5	NM_012204.4	9329	2466	0.5089
ENSG00000164099	PRSS12	ENST00000296498.3	NM_003619.4	8492	2625	0.5432
ENSG00000119636	BBOF1	ENST00000394009.5	NM_025057.3	80127	1587	0.4033
ENSG00000086712	TXLNG	ENST00000380122.10	NM_018360.3	55787	1584	0.4646
ENSG00000165028	NIPSNAP3B	ENST00000374762.4	NM_018376.4	55335	741	0.4278
ENSG00000174279	EVX2	ENST00000308618.5	NM_001080458.2	344191	1428	0.6989
ENSG00000242515	UGT1A10	ENST00000344644.10	NM_019075.4	54575	1590	0.4774
ENSG00000310576	FAM174C	ENST00000409293.6	NM_017914.4	55009	396	0.7045
ENSG00000143452	HORMAD1	ENST00000361824.7	NM_032132.5	84072	1182	0.3714
ENSG00000248144	ADH1C	ENST00000515683.6	NM_000669.5	126	1125	0.4818
ENSG00000174500	GCSAM	ENST00000308910.9	NM_152785.5	257144	534	0.4663
ENSG00000148143	ZNF462	ENST00000277225.10	NM_021224.6	58499	7518	0.5031
ENSG00000121410	A1BG	ENST00000263100.8	NM_130786.4	1	1485	0.6579
ENSG00000131979	GCH1	ENST00000491895.7	NM_000161.3	2643	750	0.5707
ENSG00000186376	ZNF75D	ENST00000370766.8	NM_007131.5	7626	1530	0.4458
ENSG00000072182	ASIC4	ENST00000358078.5	NM_018674.6	55515	1617	0.6289
ENSG00000235034	C19orf81	ENST00000425202.6	NM_001195076.2	342918	594	0.6633
ENSG00000172139	SLC9C1	ENST00000305815.10	NM_183061.3	285335	3531	0.3503
ENSG00000106948	AKNA	ENST00000374088.8	NM_001317950.2	80709	4317	0.6257
ENSG00000161681	SHANK1	ENST00000293441.6	NM_016148.5	50944	6483	0.6895
ENSG00000138068	SULT6B1	ENST00000535679.6	NM_001367551.1	391365	909	0.4037
ENSG00000147121	KRABD4	ENST00000344302.9	NM_001129898.2	55634	513	0.4717
ENSG00000143384	MCL1	ENST00000369026.3	NM_021960.5	4170	1050	0.6105
ENSG00000182512	GLRX5	ENST00000331334.5	NM_016417.3	51218	471	0.6476
ENSG00000186143	PRR30	ENST00000335524.7	NM_178553.4	339779	1236	0.6197
ENSG00000151014	NOCT	ENST00000280614.4	NM_012118.4	25819	1293	0.5429
ENSG00000119714	GPR68	ENST00000650645.1	NM_001177676.2	8111	1095	0.6493
ENSG00000163793	DNAJC5G	ENST00000296097.8	NM_173650.3	285126	567	0.4568
ENSG00000169752	NRG4	ENST00000394907.8	NM_138573.4	145957	345	0.4754
ENSG00000177034	MTX3	ENST00000512528.3	NM_001363818.2	345778	936	0.4476
ENSG00000005059	MCUB	ENST00000394650.7	NM_017918.5	55013	1008	0.4504
ENSG00000140030	GPR65	ENST00000267549.5	NM_003608.4	8477	1011	0.3937
ENSG00000163794	UCN	ENST00000296099.2	NM_003353.4	7349	372	0.7312
ENSG00000140025	EFCAB11	ENST00000316738.12	NM_145231.4	90141	489	0.4335
ENSG00000171234	UGT2B7	ENST00000305231.12	NM_001074.4	7364	1587	0.4089
ENSG00000169432	SCN9A	ENST00000642356.2	NM_001365536.1	6335	5964	0.4153
ENSG00000164299	SPZ1	ENST00000296739.6	NM_032567.4	84654	1290	0.3876
ENSG00000164007	CLDN19	ENST00000296387.6	NM_148960.3	149461	672	0.6324
ENSG00000101752	MIB1	ENST00000261537.7	NM_020774.4	57534	3018	0.4606
ENSG00000087495	PHACTR3	ENST00000371015.6	NM_080672.5	116154	1677	0.554
ENSG00000116539	ASH1L	ENST00000392403.8	NM_018489.3	55870	8892	0.4402
ENSG00000095370	SH2D3C	ENST00000314830.13	NM_170600.3	10044	2580	0.6221
ENSG00000239388	ASB14	ENST00000487349.6	NM_001142733.3	142686	1761	0.4571
ENSG00000004468	CD38	ENST00000226279.8	NM_001775.4	952	900	0.49
ENSG00000169891	REPS2	ENST00000357277.8	NM_004726.3	9185	1980	0.5429
ENSG00000204532	ZSCAN5C	ENST00000534327.7	NM_001358413.3	649137	1488	0.547
ENSG00000179873	NLRP11	ENST00000589093.6	NM_001394894.2	204801	3099	0.445
ENSG00000175785	PRIMA1	ENST00000393140.6	NM_178013.4	145270	459	0.61
ENSG00000169282	KCNAB1	ENST00000490337.6	NM_172160.3	7881	1257	0.4956
ENSG00000129038	LOXL1	ENST00000261921.8	NM_005576.4	4016	1722	0.6899
ENSG00000089902	RCOR1	ENST00000262241.7	NM_015156.4	23186	1455	0.5072
ENSG00000036565	SLC18A1	ENST00000276373.10	NM_003053.4	6570	1575	0.5371
ENSG00000154655	L3MBTL4	ENST00000317931.12	NM_001330559.2	91133	1842	0.4653
ENSG00000186417	GLDN	ENST00000335449.11	NM_181789.4	342035	1653	0.5439
ENSG00000173597	SULT1B1	ENST00000310613.8	NM_014465.4	27284	888	0.3784
ENSG00000139890	REM2	ENST00000267396.9	NM_173527.3	161253	1020	0.6294
ENSG00000139921	TMX1	ENST00000457354.7	NM_030755.5	81542	840	0.4536
ENSG00000159871	LYPD5	ENST00000377950.8	NM_001031749.3	284348	753	0.6348
ENSG00000100941	PNN	ENST00000216832.9	NM_002687.4	5411	2151	0.4547
ENSG00000157890	MEGF11	ENST00000395614.6	NM_001385028.1	84465	3420	0.605
ENSG00000050730	TNIP3	ENST00000057513.8	NM_024873.6	79931	975	0.4451
ENSG00000167637	ZNF283	ENST00000618787.5	NM_181845.2	284349	2037	0.4075
ENSG00000155755	TMEM237	ENST00000409883.7	NM_001044385.3	65062	1224	0.4518
ENSG00000100982	PCIF1	ENST00000372409.8	NM_022104.4	63935	2112	0.5933
ENSG00000092203	TOX4	ENST00000448790.7	NM_014828.4	9878	1863	0.5121
ENSG00000154330	PGM5	ENST00000396396.6	NM_021965.4	5239	1701	0.5397
ENSG00000124333	VAMP7	ENST00000286448.12	NM_005638.6	6845	660	0.4152
ENSG00000160505	NLRP4	ENST00000301295.11	NM_134444.5	147945	2982	0.496
ENSG00000170006	TMEM154	ENST00000304385.8	NM_152680.3	201799	549	0.4044
ENSG00000162526	TSSK3	ENST00000373534.4	NM_052841.4	81629	804	0.5473
ENSG00000288654	LOC128031834	ENST00000677770.1	NM_001414731.1	128031834	75	0.4933
ENSG00000151623	NR3C2	ENST00000358102.8	NM_000901.5	4306	2952	0.4702
ENSG00000177917	ARL6IP6	ENST00000326446.10	NM_152522.7	151188	678	0.5678
ENSG00000206560	ANKRD28	ENST00000683139.1	NM_001349278.2	23243	3249	0.4377
ENSG00000054179	ENTPD2	ENST00000355097.7	NM_203468.3	954	1485	0.6384
ENSG00000173572	NLRP13	ENST00000342929.4	NM_176810.2	126204	3129	0.4727
ENSG00000156222	SLC28A1	ENST00000394573.6	NM_004213.5	9154	1947	0.5804
ENSG00000162817	C1orf115	ENST00000294889.6	NM_024709.5	79762	426	0.7066
ENSG00000197852	INKA2	ENST00000357260.6	NM_019099.5	55924	891	0.5915
ENSG00000100632	ERH	ENST00000557016.6	NM_004450.3	2079	312	0.4487
ENSG00000179709	NLRP8	ENST00000850972.1	NM_001433706.1	126205	3144	0.4911
ENSG00000228486	C2orf92	ENST00000627399.4	NM_001351368.2	728537	795	0.4264
ENSG00000171487	NLRP5	ENST00000850973.1	NM_001433705.1	126206	3447	0.5323
ENSG00000173464	RNASE11	ENST00000557105.7	NM_001394190.1	122651	597	0.4439
ENSG00000096872	IFT74	ENST00000380062.10	NM_025103.4	80173	1800	0.3783
ENSG00000141622	ARK2C	ENST00000269439.12	NM_152470.3	494470	1038	0.5973
ENSG00000102362	SYTL4	ENST00000372989.6	NM_001370165.1	94121	2013	0.4988
ENSG00000186517	ARHGAP30	ENST00000368013.8	NM_001025598.2	257106	3303	0.5813
ENSG00000104231	ZFAND1	ENST00000220669.10	NM_024699.3	79752	804	0.408
ENSG00000187867	PALM3	ENST00000669674.2	NM_001145028.2	342979	2064	0.6211
ENSG00000151458	ANKRD50	ENST00000504087.6	NM_020337.3	57182	4287	0.4283
ENSG00000129518	EAPP	ENST00000250454.8	NM_018453.4	55837	855	0.4304
ENSG00000198026	ZNF335	ENST00000322927.3	NM_022095.4	63925	4026	0.6125
ENSG00000178127	NDUFV2	ENST00000318388.11	NM_021074.5	4729	747	0.4525
ENSG00000137473	TTC29	ENST00000325106.9	NM_031956.4	83894	1425	0.4393
ENSG00000165516	KLHDC2	ENST00000298307.10	NM_014315.3	23588	1218	0.431
ENSG00000161281	COX7A1	ENST00000292907.8	NM_001864.4	1346	237	0.5907
ENSG00000092345	DAZL	ENST00000399444.7	NM_001351.4	1618	885	0.4192
ENSG00000187980	PLA2G2C	ENST00000679259.1	NM_001367969.2	391013	447	0.557
ENSG00000136859	ANGPTL2	ENST00000373425.8	NM_012098.3	23452	1479	0.5963
ENSG00000174123	TLR10	ENST00000308973.9	NM_030956.4	81793	2433	0.3777
ENSG00000172888	ZNF621	ENST00000339296.10	NM_198484.5	285268	1317	0.4738
ENSG00000196912	ANKRD36B	ENST00000359901.9	NM_001393939.1	57730	4059	0.3925
ENSG00000049769	PPP1R3F	ENST00000055335.11	NM_033215.5	89801	2397	0.6704
ENSG00000231679	HLA-DRB3	ENST00000383126.8	NM_022555.4	3125	798	0.584
ENSG00000107159	CA9	ENST00000378357.9	NM_001216.3	768	1377	0.6158
ENSG00000138767	CNOT6L	ENST00000504123.7	NM_144571.3	246175	1665	0.4342
ENSG00000101417	PXMP4	ENST00000409299.8	NM_007238.5	11264	636	0.5849
ENSG00000069399	BCL3	ENST00000164227.10	NM_005178.5	602	1362	0.6894
ENSG00000231861	OR5K2	ENST00000427338.3	NM_001004737.1	402135	948	0.3924
ENSG00000172476	RAB40A	ENST00000304236.2	NM_080879.3	142684	831	0.5764
ENSG00000198160	MIER1	ENST00000401041.6	NM_001077700.3	57708	1695	0.4077
ENSG00000154165	GPR15	ENST00000284311.5	NM_005290.4	2838	1080	0.4796
ENSG00000165775	FUNDC2	ENST00000369498.8	NM_023934.4	65991	567	0.5168
ENSG00000124193	SRSF6	ENST00000244020.5	NM_006275.6	6431	1032	0.5165
ENSG00000136872	ALDOB	ENST00000647789.2	NM_000035.4	229	1092	0.5357
ENSG00000125089	SH3TC1	ENST00000245105.8	NM_018986.5	54436	4008	0.6487
ENSG00000176601	MAP3K19	ENST00000392915.7	NM_025052.5	80122	3984	0.4132
ENSG00000167088	SNRPD1	ENST00000300413.10	NM_006938.4	6632	357	0.4426
ENSG00000214021	TTLL3	ENST00000685419.1	NM_001387446.1	26140	2445	0.573
ENSG00000174837	ADGRE1	ENST00000312053.9	NM_001974.5	2015	2658	0.494
ENSG00000126773	PCNX4	ENST00000406854.6	NM_001330177.2	64430	3516	0.397
ENSG00000101361	NOP56	ENST00000329276.10	NM_006392.4	10528	1782	0.5163
ENSG00000198932	GPRASP1	ENST00000537097.2	NM_001184727.2	9737	4185	0.4741
ENSG00000186812	ZNF397	ENST00000330501.12	NM_001135178.3	84307	1602	0.4382
ENSG00000137563	GGH	ENST00000260118.7	NM_003878.3	8836	954	0.413
ENSG00000102547	CAB39L	ENST00000409308.6	NM_001079670.3	81617	1011	0.4085
ENSG00000104689	TNFRSF10A	ENST00000221132.8	NM_003844.4	8797	1404	0.5613
ENSG00000206432	TMEM200C	ENST00000383490.3	NM_001395400.1	645369	1863	0.7059
ENSG00000187790	FANCM	ENST00000267430.10	NM_020937.4	57697	6144	0.3786
ENSG00000102010	BMX	ENST00000348343.11	NM_203281.3	660	2025	0.4464
ENSG00000154889	MPPE1	ENST00000588072.6	NM_023075.6	65258	1188	0.5093
ENSG00000168453	HR	ENST00000381418.9	NM_005144.5	55806	3567	0.6512
ENSG00000151790	TDO2	ENST00000536354.3	NM_005651.4	6999	1218	0.4146
ENSG00000148300	REXO4	ENST00000371942.8	NM_020385.4	57109	1266	0.5474
ENSG00000179270	PCARE	ENST00000331664.6	NM_001029883.3	388939	3864	0.5815
ENSG00000058673	ZC3H11A	ENST00000367210.3	NM_001376342.1	9877	2430	0.4593
ENSG00000180745	CLRN3	ENST00000368671.4	NM_152311.5	119467	678	0.4587
ENSG00000183671	CMKLR2	ENST00000621141.5	NM_001389445.1	2825	1065	0.4507
ENSG00000183423	LRIT3	ENST00000594814.6	NM_198506.5	345193	2037	0.4688
ENSG00000108176	DNAJC12	ENST00000225171.7	NM_021800.3	56521	594	0.4562
ENSG00000196589	MBD3L2B	ENST00000636986.2	NM_001364674.2	729458	612	0.6029
ENSG00000121895	TMEM156	ENST00000381938.4	NM_024943.3	80008	888	0.3818
ENSG00000257704	INAFM1	ENST00000552360.4	NM_178511.6	255783	426	0.77
ENSG00000126945	HNRNPH2	ENST00000316594.6	NM_019597.5	3188	1347	0.4774
ENSG00000197405	C5AR1	ENST00000355085.4	NM_001736.4	728	1050	0.5876
ENSG00000163464	CXCR1	ENST00000295683.3	NM_000634.3	3577	1050	0.5286
ENSG00000136169	SETDB2	ENST00000611815.2	NM_001160308.3	83852	2121	0.3824
ENSG00000101391	CDK5RAP1	ENST00000346416.7	NM_016408.4	51654	1761	0.5139
ENSG00000156026	MCU	ENST00000373053.8	NM_138357.3	90550	1053	0.4948
ENSG00000136881	BAAT	ENST00000259407.7	NM_001701.4	570	1254	0.4841
ENSG00000120519	SLC10A7	ENST00000335472.12	NM_001029998.6	84068	1020	0.4304
ENSG00000214050	FBXO16	ENST00000380254.7	NM_172366.4	157574	876	0.4498
ENSG00000105323	HNRNPUL1	ENST00000392006.8	NM_007040.6	11100	2568	0.5806
ENSG00000102081	FMR1	ENST00000370475.9	NM_002024.6	2332	1896	0.4341
ENSG00000183722	LHFPL6	ENST00000379589.4	NM_005780.3	10186	600	0.575
ENSG00000140287	HDC	ENST00000267845.8	NM_002112.4	3067	1986	0.5403
ENSG00000214216	IQCJ	ENST00000397832.7	NM_001042706.3	654502	336	0.4762
ENSG00000169507	SLC38A11	ENST00000685975.1	NM_001351537.2	151258	1386	0.4062
ENSG00000148057	IDNK	ENST00000376419.5	NM_001001551.4	414328	561	0.4973
ENSG00000122033	MTIF3	ENST00000381120.8	NM_152912.5	219402	834	0.4101
ENSG00000128815	WDFY4	ENST00000325239.12	NM_001394531.1	57705	9552	0.5544
ENSG00000059769	DNAJC25	ENST00000313525.4	NM_001015882.3	548645	1080	0.5083
ENSG00000151967	SCHIP1	ENST00000638749.2	NM_014575.4	29970	1461	0.5804
ENSG00000109181	UGT2B10	ENST00000265403.12	NM_001075.6	7365	1584	0.4034
ENSG00000169499	PLEKHA2	ENST00000617275.5	NM_021623.2	59339	1275	0.5396
ENSG00000064218	DMRT3	ENST00000190165.3	NM_021240.4	58524	1416	0.6165
ENSG00000212864	RNF208	ENST00000391553.3	NM_031297.7	727800	783	0.6667
ENSG00000136936	XPA	ENST00000375128.5	NM_000380.4	7507	819	0.4493
ENSG00000119737	GPR75	ENST00000394705.3	NM_006794.4	10936	1620	0.4975
ENSG00000079150	FKBP7	ENST00000424785.7	NM_181342.3	51661	666	0.4159
ENSG00000152990	ADGRA3	ENST00000334304.10	NM_145290.4	166647	3963	0.4762
ENSG00000136883	KIF12	ENST00000640217.2	NM_001388308.1	113220	1953	0.6498
ENSG00000140577	CRTC3	ENST00000268184.11	NM_022769.5	64784	1857	0.5687
ENSG00000157110	RBPMS	ENST00000397323.9	NM_001008710.3	11030	588	0.534
ENSG00000133216	EPHB2	ENST00000374630.8	NM_017449.5	2048	2958	0.5896
ENSG00000138315	OIT3	ENST00000334011.10	NM_152635.3	170392	1635	0.5517
ENSG00000226321	CROCC2	ENST00000690015.1	NM_001351305.2	728763	4959	0.6717
ENSG00000137142	IGFBPL1	ENST00000377694.2	NM_001007563.3	347252	834	0.6942
ENSG00000205795	CYS1	ENST00000381813.5	NM_001037160.3	192668	474	0.7827
ENSG00000106993	CDC37L1	ENST00000381854.4	NM_017913.4	55664	1011	0.4233
ENSG00000214842	RAD51AP2	ENST00000399080.3	NM_001099218.3	729475	3477	0.3451
ENSG00000169062	UPF3A	ENST00000375299.8	NM_023011.4	65110	1428	0.5315
ENSG00000185038	MROH2A	ENST00000389758.4	NM_001394639.1	339766	5022	0.5639
ENSG00000148516	ZEB1	ENST00000424869.6	NM_001174096.2	6935	3375	0.4347
ENSG00000119673	ACOT2	ENST00000238651.10	NM_006821.6	10965	1449	0.6032
ENSG00000174840	PDE12	ENST00000311180.9	NM_177966.7	201626	1827	0.5468
ENSG00000164168	TMEM184C	ENST00000296582.8	NM_018241.3	55751	1314	0.4026
ENSG00000119523	ALG2	ENST00000476832.2	NM_033087.4	85365	1248	0.5417
ENSG00000119661	DNAL1	ENST00000553645.7	NM_031427.4	83544	570	0.4158
ENSG00000256977	LIMS3	ENST00000480744.3	NM_001394901.1	96626	1194	0.5075
ENSG00000214324	PRR23E	ENST00000624688.2	NM_001007534.2	285311	726	0.6212
ENSG00000130222	GADD45G	ENST00000252506.11	NM_006705.4	10912	477	0.631
ENSG00000239620	PRR20G	ENST00000465482.3	NM_001362810.2	100419008	630	0.6222
ENSG00000176256	HMGB4	ENST00000681531.1	NM_001379301.1	127540	558	0.4767
ENSG00000138758	SEPTIN11	ENST00000264893.11	NM_018243.4	55752	1287	0.4584
ENSG00000162972	MAIP1	ENST00000392290.6	NM_001394955.1	79568	873	0.5166
ENSG00000031823	RANBP3	ENST00000340578.10	NM_007322.3	8498	1701	0.5902
ENSG00000116525	TRIM62	ENST00000291416.10	NM_018207.3	55223	1425	0.6344
ENSG00000213920	MDP1	ENST00000288087.12	NM_138476.4	145553	528	0.5152
ENSG00000166128	RAB8B	ENST00000321437.9	NM_016530.3	51762	621	0.4219
ENSG00000197168	NEK5	ENST00000684899.1	NM_001365552.1	341676	2496	0.4139
ENSG00000274764	PRAMEF27	ENST00000436041.6	NM_001300891.2	101929983	1434	0.5119
ENSG00000128655	PDE11A	ENST00000286063.11	NM_016953.4	50940	2799	0.4852
ENSG00000275774	HNRNPCL2	ENST00000621994.3	NM_001136561.3	440563	879	0.479
ENSG00000169413	RNASE6	ENST00000304677.3	NM_005615.5	6039	450	0.48
ENSG00000179412	HNRNPCL4	ENST00000323770.8	NM_001302551.2	101060301	879	0.4881
ENSG00000213516	RBMXL1	ENST00000652648.1	NM_001162536.3	494115	1170	0.4821
ENSG00000206199	ANKUB1	ENST00000446160.7	NM_001144960.3	389161	1632	0.4449
ENSG00000160323	ADAMTS13	ENST00000355699.7	NM_139027.6	11093	4113	0.6489
ENSG00000213231	TCL1B	ENST00000340722.8	NM_004918.4	9623	384	0.6016
ENSG00000107643	MAPK8	ENST00000374189.6	NM_001323329.2	5599	1281	0.4262
ENSG00000126709	IFI6	ENST00000361157.11	NM_002038.4	2537	390	0.6436
ENSG00000100522	GNPNAT1	ENST00000216410.8	NM_198066.4	64841	552	0.3841
ENSG00000104131	EIF3J	ENST00000261868.10	NM_003758.4	8669	774	0.4302
ENSG00000196616	ADH1B	ENST00000305046.13	NM_000668.6	125	1125	0.4942
ENSG00000122035	RASL11A	ENST00000241463.5	NM_206827.2	387496	726	0.5702
ENSG00000168522	FNTA	ENST00000302279.8	NM_002027.3	2339	1137	0.4529
ENSG00000121742	GJB6	ENST00000647029.1	NM_001110219.3	10804	783	0.4917
ENSG00000277058	HNRNPCL3	ENST00000617807.3	NM_001382358.1	649330	879	0.4869
ENSG00000163645	ERICH6	ENST00000295910.11	NM_152394.5	131831	1989	0.4389
ENSG00000104140	RHOV	ENST00000220507.5	NM_133639.4	171177	708	0.6356
ENSG00000073756	PTGS2	ENST00000367468.10	NM_000963.4	5743	1812	0.4487
ENSG00000256061	DNAAF4	ENST00000321149.7	NM_130810.4	161582	1260	0.3873
ENSG00000197363	ZNF517	ENST00000359971.4	NM_213605.3	340385	1476	0.6687
ENSG00000125257	ABCC4	ENST00000645237.2	NM_005845.5	10257	3975	0.4448
ENSG00000250366	TUNAR	ENST00000503525.3	NM_001416131.1	100507043	195	0.4256
ENSG00000179008	C14orf39	ENST00000321731.8	NM_174978.3	317761	1761	0.3305
ENSG00000214237	MINDY4B	ENST00000465419.7	NM_001351281.2	646951	1380	0.4681
ENSG00000169436	COL22A1	ENST00000303045.11	NM_152888.3	169044	4878	0.6242
ENSG00000172955	ADH6	ENST00000394899.6	NM_001102470.2	130	1125	0.4542
ENSG00000186073	CDIN1	ENST00000566621.6	NM_001321759.2	84529	843	0.4828
ENSG00000181449	SOX2	ENST00000325404.3	NM_003106.4	6657	951	0.6593
ENSG00000186118	TEX38	ENST00000334122.5	NM_001145474.4	374973	618	0.5599
ENSG00000197953	AADACL2	ENST00000356517.4	NM_207365.4	344752	1203	0.3965
ENSG00000116035	VAX2	ENST00000234392.3	NM_012476.3	25806	870	0.6793
ENSG00000159658	EFCAB14	ENST00000371933.8	NM_014774.3	9813	1485	0.4552
ENSG00000119640	ACYP1	ENST00000238618.8	NM_001107.5	97	297	0.4444
ENSG00000169860	P2RY1	ENST00000305097.6	NM_002563.5	5028	1119	0.5112
ENSG00000163145	C1QTNF7	ENST00000444304.3	NM_031911.5	114905	867	0.5029
ENSG00000185267	CDNF	ENST00000465530.2	NM_001029954.3	441549	561	0.5062
ENSG00000162881	OXER1	ENST00000378661.4	NM_148962.5	165140	1152	0.6354
ENSG00000165828	PRAP1	ENST00000433452.6	NM_145202.5	118471	453	0.638
ENSG00000118707	TGIF2	ENST00000373872.9	NM_021809.7	60436	711	0.5992
ENSG00000174796	THAP6	ENST00000311638.7	NM_144721.6	152815	666	0.3994
ENSG00000197102	DYNC1H1	ENST00000360184.10	NM_001376.5	1778	13938	0.5134
ENSG00000182600	SNORC	ENST00000331342.5	NM_001394206.1	389084	363	0.7245
ENSG00000171772	SYCE1	ENST00000343131.7	NM_001143764.3	93426	1053	0.5594
ENSG00000170385	SLC30A1	ENST00000367001.5	NM_021194.3	7779	1521	0.5122
ENSG00000173253	DMRT2	ENST00000358146.7	NM_181872.6	10655	1683	0.571
ENSG00000057468	MSH4	ENST00000263187.4	NM_002440.4	4438	2808	0.3803
ENSG00000034677	RNF19A	ENST00000341084.7	NM_183419.4	25897	2514	0.4244
ENSG00000182606	TRAK1	ENST00000327628.10	NM_001042646.3	22906	2859	0.5715
ENSG00000140464	PML	ENST00000268058.8	NM_033238.3	5371	2646	0.6455
ENSG00000124120	TTPAL	ENST00000262605.9	NM_001039199.3	79183	1026	0.5175
ENSG00000150471	ADGRL3	ENST00000683033.1	NM_001387552.1	23284	4629	0.4655
ENSG00000118245	TNP1	ENST00000236979.2	NM_003284.4	7141	165	0.5152
ENSG00000144460	NYAP2	ENST00000272907.8	NM_001371273.1	57624	2157	0.5665
ENSG00000167157	PRRX2	ENST00000372469.6	NM_016307.4	51450	759	0.7141
ENSG00000144010	TRIM43B	ENST00000639673.3	NM_001164464.2	653192	1338	0.4626
ENSG00000166272	WBP1L	ENST00000448841.7	NM_001083913.2	54838	1089	0.5978
ENSG00000186638	KIF24	ENST00000402558.7	NM_194313.4	347240	4104	0.4983
ENSG00000117020	AKT3	ENST00000673466.1	NM_005465.7	10000	1437	0.4022
ENSG00000247626	MARS2	ENST00000282276.8	NM_138395.4	92935	1779	0.5773
ENSG00000121966	CXCR4	ENST00000241393.4	NM_003467.3	7852	1056	0.5047
ENSG00000150201	FXYD4	ENST00000476166.6	NM_173160.3	53828	267	0.5543
ENSG00000083307	GRHL2	ENST00000646743.1	NM_024915.4	79977	1875	0.4907
ENSG00000165072	MAMDC2	ENST00000377182.5	NM_153267.5	256691	2058	0.4781
ENSG00000178904	DPY19L3	ENST00000392250.7	NM_001172774.2	147991	2148	0.4213
ENSG00000197177	ADGRA1	ENST00000392607.8	NM_001083909.3	84435	1680	0.6726
ENSG00000147647	DPYS	ENST00000351513.7	NM_001385.3	1807	1557	0.5273
ENSG00000256671	LIMS4	ENST00000632897.2	NM_001371340.3	100288695	1194	0.5075
ENSG00000155886	SLC24A2	ENST00000341998.7	NM_020344.4	25769	1983	0.4705
ENSG00000187908	DMBT1	ENST00000338354.10	NM_001377530.1	1755	7626	0.5664
ENSG00000163599	CTLA4	ENST00000648405.2	NM_005214.5	1493	669	0.5112
ENSG00000130706	ADRM1	ENST00000253003.7	NM_007002.4	11047	1221	0.6364
ENSG00000185565	LSAMP	ENST00000490035.7	NM_002338.5	4045	1014	0.5256
ENSG00000131269	ABCB7	ENST00000373394.8	NM_001271696.3	22	2256	0.4441
ENSG00000136688	IL36G	ENST00000259205.5	NM_019618.4	56300	507	0.4813
ENSG00000105518	TMEM205	ENST00000354882.10	NM_198536.3	374882	567	0.5873
ENSG00000155158	TTC39B	ENST00000512701.7	NM_152574.3	158219	1848	0.4389
ENSG00000136694	IL36A	ENST00000259211.7	NM_014440.3	27179	474	0.5063
ENSG00000134086	VHL	ENST00000256474.3	NM_000551.4	7428	639	0.6166
ENSG00000136697	IL1F10	ENST00000341010.6	NM_173161.3	84639	456	0.5592
ENSG00000136689	IL1RN	ENST00000409930.4	NM_173842.3	3557	531	0.5198
ENSG00000198912	C1orf174	ENST00000361605.4	NM_207356.3	339448	729	0.5254
ENSG00000102802	MEDAG	ENST00000380482.9	NM_032849.4	84935	909	0.4917
ENSG00000105370	LIM2	ENST00000596399.2	NM_001161748.2	3982	519	0.5973
ENSG00000134775	FHOD3	ENST00000590592.6	NM_001281740.3	80206	4866	0.5454
ENSG00000181467	RAP2B	ENST00000323534.5	NM_002886.4	5912	549	0.6193
