systematic_name	common_name	ensembl_transcript	cds_length	gc_content
ENSMUSG00000043542	Zc2hc1a	ENSMUST00000051064	972	0.4784
ENSMUSG00000050382	Kif7	ENSMUST00000183846	4044	0.6157
ENSMUSG00000043537	Vmn1r225	ENSMUST00000233982	894	0.3792
ENSMUSG00000048399	Tprg1	ENSMUST00000056087	837	0.497
ENSMUSG00000023961	Enpp4	ENSMUST00000024757	1368	0.4437
ENSMUSG00000047804	Akap10	ENSMUST00000102650	1986	0.4637
ENSMUSG00000022498	Txndc11	ENSMUST00000038424	2844	0.544
ENSMUSG00000052387	Trpm3	ENSMUST00000235522	5193	0.5026
ENSMUSG00000023010	Tmbim6	ENSMUST00000023749	711	0.5218
ENSMUSG00000090572	Vmn2r109	ENSMUST00000167093	2574	0.3974
ENSMUSG00000019767	Ccdc170	ENSMUST00000138112	2166	0.5097
ENSMUSG00000091259	Vmn2r110	ENSMUST00000169559	2574	0.3951
ENSMUSG00000060701	Fpr-rs3	ENSMUST00000071189	1029	0.4451
ENSMUSG00000033233	Trim45	ENSMUST00000134993	2271	0.5509
ENSMUSG00000023959	Clic5	ENSMUST00000239215	1455	0.5409
ENSMUSG00000005682	Pan2	ENSMUST00000005825	3600	0.5256
ENSMUSG00000025429	Pstpip2	ENSMUST00000114741	1002	0.484
ENSMUSG00000057914	Cacnb2	ENSMUST00000114723	1965	0.5053
ENSMUSG00000048391	Or7g25	ENSMUST00000214019	939	0.3759
ENSMUSG00000033295	Ptprf	ENSMUST00000049074	5694	0.5868
ENSMUSG00000049229	Or7g26	ENSMUST00000220268	945	0.4233
ENSMUSG00000032839	Trpc1	ENSMUST00000189137	2427	0.4549
ENSMUSG00000042848	Vmn1r226	ENSMUST00000232708	894	0.3714
ENSMUSG00000067951	Vmn1r227	ENSMUST00000233597	933	0.3741
ENSMUSG00000036500	Akp3	ENSMUST00000044878	1677	0.576
ENSMUSG00000060245	Vmn1r228	ENSMUST00000233605	999	0.3784
ENSMUSG00000117148	Vmn1r229	ENSMUST00000232810	918	0.3889
ENSMUSG00000045417	Vmn1r230	ENSMUST00000232909	948	0.3766
ENSMUSG00000025151	Maged1	ENSMUST00000026142	2325	0.5497
ENSMUSG00000050933	Vmn1r231	ENSMUST00000235948	933	0.3762
ENSMUSG00000091539	Vmn1r238	ENSMUST00000165255	918	0.39
ENSMUSG00000062165	Vmn1r232	ENSMUST00000237554	1053	0.3799
ENSMUSG00000063889	Crem	ENSMUST00000150235	1071	0.4631
ENSMUSG00000036533	Cdc42ep3	ENSMUST00000068958	762	0.5328
ENSMUSG00000044052	Ccr10	ENSMUST00000062759	1086	0.628
ENSMUSG00000007564	Ppp2r1a	ENSMUST00000007708	1767	0.5393
ENSMUSG00000025977	Boll	ENSMUST00000087585	879	0.4414
ENSMUSG00000020395	Itk	ENSMUST00000109237	1875	0.5045
ENSMUSG00000042700	Sipa1l1	ENSMUST00000166429	5346	0.5346
ENSMUSG00000027794	Sohlh2	ENSMUST00000029369	1401	0.5075
ENSMUSG00000037965	Zc3h7a	ENSMUST00000037633	2910	0.423
ENSMUSG00000041328	Pcf11	ENSMUST00000119954	4659	0.4372
ENSMUSG00000040329	Il7	ENSMUST00000194279	462	0.3571
ENSMUSG00000045575	Vmn1r233	ENSMUST00000237195	957	0.4253
ENSMUSG00000036368	Rmdn2	ENSMUST00000040368	1230	0.4472
ENSMUSG00000049775	Tmsb4x	ENSMUST00000112176	150	0.4267
ENSMUSG00000061614	Or7g27	ENSMUST00000215572	936	0.4209
ENSMUSG00000058692	Or7g28	ENSMUST00000214810	936	0.3868
ENSMUSG00000027500	Stmn2	ENSMUST00000029002	537	0.5158
ENSMUSG00000036244	Tbc1d21	ENSMUST00000040217	1008	0.5218
ENSMUSG00000038349	Plcl1	ENSMUST00000042986	3288	0.4842
ENSMUSG00000060063	Alox5ap	ENSMUST00000071130	483	0.5404
ENSMUSG00000040522	Tlr8	ENSMUST00000112170	3096	0.3979
ENSMUSG00000061065	H2al1o	ENSMUST00000079952	330	0.5061
ENSMUSG00000029406	Pitpnm2	ENSMUST00000161938	4005	0.6037
ENSMUSG00000059939	9430015G10Rik	ENSMUST00000072554	597	0.5729
ENSMUSG00000044583	Tlr7	ENSMUST00000112161	3150	0.407
ENSMUSG00000059263	Usp47	ENSMUST00000215510	4128	0.444
ENSMUSG00000056211	R3hdm1	ENSMUST00000036288	3405	0.489
ENSMUSG00000033222	Ttf2	ENSMUST00000076941	3414	0.5234
ENSMUSG00000022105	Rb1	ENSMUST00000022701	2763	0.4177
ENSMUSG00000024087	Cyp1b1	ENSMUST00000024894	1629	0.5832
ENSMUSG00000066607	Insyn1	ENSMUST00000085658	876	0.605
ENSMUSG00000067942	Zfp160	ENSMUST00000088811	1950	0.4077
ENSMUSG00000025742	Prps2	ENSMUST00000026839	954	0.4853
ENSMUSG00000049493	Pls1	ENSMUST00000093800	1890	0.4725
ENSMUSG00000031176	Dynlt3	ENSMUST00000033519	348	0.4569
ENSMUSG00000059821	Or7g29	ENSMUST00000216839	936	0.3974
ENSMUSG00000021615	Xrcc4	ENSMUST00000022115	978	0.4468
ENSMUSG00000052182	Or7g30	ENSMUST00000217273	936	0.3889
ENSMUSG00000023009	Nckap5l	ENSMUST00000023747	3969	0.6329
ENSMUSG00000094535	Or7g31	ENSMUST00000077347	945	0.3937
ENSMUSG00000040456	H2ap	ENSMUST00000044987	351	0.4957
ENSMUSG00000020401	Garin3	ENSMUST00000063166	1995	0.5363
ENSMUSG00000052625	Or7g32	ENSMUST00000214130	936	0.3942
ENSMUSG00000048994	H2al3	ENSMUST00000057113	384	0.4766
ENSMUSG00000054453	Sytl5	ENSMUST00000067529	2259	0.4595
ENSMUSG00000051160	Or7g33	ENSMUST00000213834	915	0.4153
ENSMUSG00000020397	Med7	ENSMUST00000109232	699	0.412
ENSMUSG00000110404	Rnf223	ENSMUST00000209248	765	0.6105
ENSMUSG00000035914	Cd276	ENSMUST00000165365	948	0.597
ENSMUSG00000028565	Nfia	ENSMUST00000075448	1527	0.5278
ENSMUSG00000057203	Vmn1r234	ENSMUST00000235895	987	0.4113
ENSMUSG00000050102	Vmn1r235	ENSMUST00000235270	1047	0.4126
ENSMUSG00000034997	Htr2a	ENSMUST00000036653	1413	0.4841
ENSMUSG00000028064	Sema4a	ENSMUST00000029700	2280	0.5829
ENSMUSG00000000308	Ckmt1	ENSMUST00000078222	1254	0.5399
ENSMUSG00000054142	Vmn1r236	ENSMUST00000066998	1002	0.4132
ENSMUSG00000058030	Vmn1r237	ENSMUST00000237155	867	0.4291
ENSMUSG00000042323	Pbrm1	ENSMUST00000112098	5112	0.4454
ENSMUSG00000039153	Runx2	ENSMUST00000160673	1788	0.5688
ENSMUSG00000023022	Lima1	ENSMUST00000073691	2259	0.5308
ENSMUSG00000095667	Or7g34	ENSMUST00000072419	945	0.4074
ENSMUSG00000043087	Or7g35	ENSMUST00000215587	936	0.406
ENSMUSG00000020399	Havcr2	ENSMUST00000020668	843	0.4555
ENSMUSG00000012422	Tmem167	ENSMUST00000161568	216	0.4352
ENSMUSG00000057551	Zfp317	ENSMUST00000208694	1821	0.4684
ENSMUSG00000094678	Or7e166	ENSMUST00000217450	927	0.4088
ENSMUSG00000078924	Timd5	ENSMUST00000109228	750	0.484
ENSMUSG00000005846	Rsl1d1	ENSMUST00000119953	1356	0.4358
ENSMUSG00000058659	Or7e165	ENSMUST00000215112	927	0.4067
ENSMUSG00000095448	Or7e168	ENSMUST00000217280	927	0.4078
ENSMUSG00000046974	Timd6	ENSMUST00000050937	576	0.4809
ENSMUSG00000066905	Or7e169	ENSMUST00000086482	951	0.4027
ENSMUSG00000078958	Atp6ap1l	ENSMUST00000109541	1008	0.4702
ENSMUSG00000033498	Strc	ENSMUST00000038389	5427	0.5799
ENSMUSG00000049176	Frmpd4	ENSMUST00000238709	5334	0.4994
ENSMUSG00000063842	Or7e170	ENSMUST00000079660	918	0.4139
ENSMUSG00000051118	Or7d10	ENSMUST00000217347	936	0.3964
ENSMUSG00000064010	Dppa1	ENSMUST00000077173	348	0.4511
ENSMUSG00000034342	Cbl	ENSMUST00000206720	2739	0.5177
ENSMUSG00000049517	Rps23	ENSMUST00000051955	429	0.5035
ENSMUSG00000085925	Rtl1	ENSMUST00000149046	5232	0.5424
ENSMUSG00000019768	Esr1	ENSMUST00000105590	1797	0.5637
ENSMUSG00000021619	Atg10	ENSMUST00000022119	633	0.4471
ENSMUSG00000026247	Ecel1	ENSMUST00000161002	2325	0.6022
ENSMUSG00000022510	Trp63	ENSMUST00000115310	2040	0.5353
ENSMUSG00000006920	Ezh1	ENSMUST00000107285	2250	0.4991
ENSMUSG00000033486	Catsper2	ENSMUST00000038073	1764	0.4643
ENSMUSG00000020671	Rab10	ENSMUST00000021001	600	0.46
ENSMUSG00000015536	Mocs2	ENSMUST00000166176	567	0.4638
ENSMUSG00000045350	Fam186a	ENSMUST00000100209	9105	0.5381
ENSMUSG00000020668	Kif3c	ENSMUST00000220210	2388	0.5595
ENSMUSG00000023025	Larp4	ENSMUST00000100206	2157	0.4608
ENSMUSG00000026707	Nsun6	ENSMUST00000028034	1428	0.4482
ENSMUSG00000030643	Rab30	ENSMUST00000032879	609	0.4598
ENSMUSG00000025381	Cnpy2	ENSMUST00000219037	546	0.5238
ENSMUSG00000026353	Ubxn4	ENSMUST00000027592	1518	0.4625
ENSMUSG00000037486	Asxl2	ENSMUST00000153102	4110	0.4793
ENSMUSG00000058254	Tspan7	ENSMUST00000076354	747	0.5181
ENSMUSG00000030772	Dkk3	ENSMUST00000033036	1047	0.5855
ENSMUSG00000005683	Cs	ENSMUST00000005826	1392	0.5309
ENSMUSG00000050803	Or7e173	ENSMUST00000062248	936	0.4017
ENSMUSG00000030546	Plin1	ENSMUST00000205915	1551	0.6299
ENSMUSG00000044454	Or7d11	ENSMUST00000216538	993	0.3917
ENSMUSG00000044106	Or7e174	ENSMUST00000212767	927	0.4056
ENSMUSG00000036480	Prss56	ENSMUST00000044533	1812	0.6341
ENSMUSG00000058491	Or7e175	ENSMUST00000213024	969	0.4025
ENSMUSG00000008035	Mid1ip1	ENSMUST00000115524	546	0.6044
ENSMUSG00000062743	Zfp677	ENSMUST00000056107	1902	0.3822
ENSMUSG00000066899	Or8b12i	ENSMUST00000215984	933	0.4051
ENSMUSG00000026589	Sec16b	ENSMUST00000086130	3153	0.5357
ENSMUSG00000061457	Or7h8	ENSMUST00000073122	933	0.4051
ENSMUSG00000066897	Or7e176	ENSMUST00000086474	969	0.3942
ENSMUSG00000023882	Zfp54	ENSMUST00000165230	1755	0.3897
ENSMUSG00000039914	Coq10a	ENSMUST00000043211	777	0.5779
ENSMUSG00000059623	Or7d9	ENSMUST00000071725	957	0.4201
ENSMUSG00000029659	Medag	ENSMUST00000093110	909	0.4917
ENSMUSG00000049028	Or7e177	ENSMUST00000075717	969	0.4076
ENSMUSG00000100626	H2al1a	ENSMUST00000188439	315	0.5175
ENSMUSG00000101819	H2al1b	ENSMUST00000189531	315	0.5143
ENSMUSG00000066896	Or7e178	ENSMUST00000086473	993	0.434
ENSMUSG00000096097	H2al1c	ENSMUST00000178806	315	0.5175
ENSMUSG00000094904	H2al1d	ENSMUST00000178595	315	0.5175
ENSMUSG00000095413	H2al1e	ENSMUST00000178979	315	0.5175
ENSMUSG00000095655	H2al1f	ENSMUST00000179004	315	0.5175
ENSMUSG00000095662	H2al1g	ENSMUST00000179859	315	0.5175
ENSMUSG00000099443	H2al1h	ENSMUST00000177926	315	0.5175
ENSMUSG00000023892	Zfp51	ENSMUST00000039577	2343	0.3845
ENSMUSG00000095445	H2al1i	ENSMUST00000164729	315	0.5175
ENSMUSG00000045519	Zfp560	ENSMUST00000068079	2262	0.4253
ENSMUSG00000069038	H2al1j	ENSMUST00000091180	327	0.4954
ENSMUSG00000023026	Dip2b	ENSMUST00000100203	4722	0.5263
ENSMUSG00000027248	Pdia3	ENSMUST00000028683	1515	0.4568
ENSMUSG00000021219	Rgs6	ENSMUST00000191107	1515	0.4799
ENSMUSG00000035045	Zc3h12b	ENSMUST00000082183	2505	0.4838
ENSMUSG00000014498	Ankrd52	ENSMUST00000014642	3228	0.5691
ENSMUSG00000030068	Gm20696	ENSMUST00000155466	222	0.6441
ENSMUSG00000057409	Zfp53	ENSMUST00000233158	1956	0.3916
ENSMUSG00000093661	Eif4e3	ENSMUST00000032151	621	0.5491
ENSMUSG00000038954	Supt3	ENSMUST00000050630	1122	0.4875
ENSMUSG00000074269	Rec114	ENSMUST00000098674	777	0.5457
ENSMUSG00000029660	Tex26	ENSMUST00000201683	888	0.4696
ENSMUSG00000057421	Las1l	ENSMUST00000113864	2328	0.5017
ENSMUSG00000027246	Ell3	ENSMUST00000028679	1185	0.5443
ENSMUSG00000033253	Szt2	ENSMUST00000075406	10293	0.5827
ENSMUSG00000072875	Gpr27	ENSMUST00000101122	1137	0.7291
ENSMUSG00000068748	Ptprz1	ENSMUST00000090568	6936	0.4521
ENSMUSG00000032409	Atr	ENSMUST00000215311	7923	0.4111
ENSMUSG00000030545	Pex11a	ENSMUST00000032761	738	0.5352
ENSMUSG00000017418	Arl5b	ENSMUST00000239125	540	0.4426
ENSMUSG00000030641	Ddias	ENSMUST00000032877	2697	0.4001
ENSMUSG00000051341	Zfp52	ENSMUST00000233281	2172	0.3849
ENSMUSG00000001240	Ramp2	ENSMUST00000129680	567	0.5661
ENSMUSG00000015533	Itga2	ENSMUST00000056117	3534	0.4666
ENSMUSG00000038126	Mphosph9	ENSMUST00000184951	3432	0.495
ENSMUSG00000067931	Zfp948	ENSMUST00000088787	2001	0.3898
ENSMUSG00000058799	Nap1l1	ENSMUST00000065917	1173	0.416
ENSMUSG00000023932	Cdc5l	ENSMUST00000024727	2406	0.4613
ENSMUSG00000039099	Wdr93	ENSMUST00000035622	2085	0.4796
ENSMUSG00000040413	Timd2	ENSMUST00000109225	915	0.4721
ENSMUSG00000023935	Spats1	ENSMUST00000233553	981	0.4985
ENSMUSG00000046110	Serinc4	ENSMUST00000056312	1476	0.544
ENSMUSG00000031207	Msn	ENSMUST00000117399	1731	0.5176
ENSMUSG00000030544	Mesp1	ENSMUST00000032760	729	0.6927
ENSMUSG00000030543	Mesp2	ENSMUST00000107394	1110	0.6441
ENSMUSG00000030069	Prok2	ENSMUST00000032152	384	0.5807
ENSMUSG00000061119	Prcp	ENSMUST00000076052	1473	0.4732
ENSMUSG00000023938	Aars2	ENSMUST00000024733	2940	0.6092
ENSMUSG00000042284	Itga1	ENSMUST00000061673	3537	0.4611
ENSMUSG00000026354	Lct	ENSMUST00000073490	5793	0.5324
ENSMUSG00000086564	Cd101	ENSMUST00000147399	3099	0.5334
ENSMUSG00000030149	Klrk1	ENSMUST00000032252	696	0.4296
ENSMUSG00000075520	Malrd1	ENSMUST00000146205	6369	0.4547
ENSMUSG00000074884	Serf2	ENSMUST00000099475	399	0.5915
ENSMUSG00000078656	Vps25	ENSMUST00000107280	552	0.5326
ENSMUSG00000028563	Tm2d1	ENSMUST00000102793	624	0.476
ENSMUSG00000023949	Tcte1	ENSMUST00000233588	1494	0.5797
ENSMUSG00000040269	Mrps28	ENSMUST00000042148	558	0.5735
ENSMUSG00000043323	Fbrsl1	ENSMUST00000069483	3093	0.6576
ENSMUSG00000004031	Brinp2	ENSMUST00000004133	2349	0.5504
ENSMUSG00000024097	Srsf7	ENSMUST00000063417	714	0.4902
ENSMUSG00000027864	Ptgfrn	ENSMUST00000102694	2637	0.5753
ENSMUSG00000027245	Hypk	ENSMUST00000110612	387	0.5478
ENSMUSG00000114470	Gm49395	ENSMUST00000224495	171	0.5906
ENSMUSG00000029778	Adcyap1r1	ENSMUST00000167234	1572	0.5318
ENSMUSG00000003992	Ssbp2	ENSMUST00000004094	1083	0.5162
ENSMUSG00000039062	Anpep	ENSMUST00000107392	2898	0.5238
ENSMUSG00000026251	Chrnd	ENSMUST00000073252	1560	0.559
ENSMUSG00000027863	Cd2	ENSMUST00000029456	1032	0.5174
ENSMUSG00000070306	Ccdc153	ENSMUST00000213891	627	0.5407
ENSMUSG00000048222	Mfap1b	ENSMUST00000056732	1317	0.4882
ENSMUSG00000044206	Vsig4	ENSMUST00000050707	840	0.4762
ENSMUSG00000023032	Slc4a8	ENSMUST00000023776	3267	0.5528
ENSMUSG00000006392	Med8	ENSMUST00000019229	804	0.5149
ENSMUSG00000078578	Ube2d3	ENSMUST00000197134	444	0.4077
ENSMUSG00000068479	Mfap1a	ENSMUST00000089926	1317	0.4882
ENSMUSG00000045802	Hsf3	ENSMUST00000059003	1476	0.3625
ENSMUSG00000026355	Mcm6	ENSMUST00000027601	2463	0.4888
ENSMUSG00000026748	Plxdc2	ENSMUST00000028081	1590	0.4761
ENSMUSG00000053368	Rxfp2	ENSMUST00000065745	2211	0.4699
ENSMUSG00000026356	Dars1	ENSMUST00000027602	1503	0.4365
ENSMUSG00000006390	Elovl1	ENSMUST00000006557	837	0.5066
ENSMUSG00000062203	Gspt1	ENSMUST00000080030	1908	0.4853
ENSMUSG00000096847	Tmem151b	ENSMUST00000180252	1683	0.6756
ENSMUSG00000032338	Hcn4	ENSMUST00000034889	3603	0.622
ENSMUSG00000023947	Nfkbie	ENSMUST00000233929	1113	0.6074
ENSMUSG00000063801	Ap3s2	ENSMUST00000075657	579	0.4784
ENSMUSG00000042331	Specc1	ENSMUST00000202389	3201	0.5223
ENSMUSG00000032105	Nherf4	ENSMUST00000034618	1494	0.5783
ENSMUSG00000040363	Bcor	ENSMUST00000115513	5277	0.5353
ENSMUSG00000037089	Slc35b2	ENSMUST00000224905	1293	0.5638
ENSMUSG00000039043	Arpin	ENSMUST00000048731	678	0.5649
ENSMUSG00000063108	Zfp26	ENSMUST00000159569	2877	0.4352
ENSMUSG00000049044	Rapgef4	ENSMUST00000090826	3033	0.485
ENSMUSG00000026253	Chrng	ENSMUST00000027470	1557	0.5857
ENSMUSG00000038244	Mical2	ENSMUST00000037991	3306	0.5481
ENSMUSG00000020205	Phlda1	ENSMUST00000164773	1215	0.6593
ENSMUSG00000068252	Apol7b	ENSMUST00000089469	1107	0.5023
ENSMUSG00000006398	Cdc20	ENSMUST00000006565	1497	0.5558
ENSMUSG00000039878	Slc39a5	ENSMUST00000042666	1605	0.6087
ENSMUSG00000023944	Hsp90ab1	ENSMUST00000024739	2172	0.5115
ENSMUSG00000059475	Zfp426	ENSMUST00000169558	1692	0.4433
ENSMUSG00000042275	Pelo	ENSMUST00000109226	1155	0.5792
ENSMUSG00000050982	Apol10a	ENSMUST00000060551	954	0.4665
ENSMUSG00000022496	Tnfrsf17	ENSMUST00000023140	555	0.5333
ENSMUSG00000091650	Apol11a	ENSMUST00000172191	1002	0.493
ENSMUSG00000021620	Acot12	ENSMUST00000022120	1668	0.4976
ENSMUSG00000041936	Agrn	ENSMUST00000180572	6102	0.5949
ENSMUSG00000044309	Apol7c	ENSMUST00000062562	1107	0.5104
ENSMUSG00000056602	Fry	ENSMUST00000087204	9060	0.5249
ENSMUSG00000038168	P3h2	ENSMUST00000039990	2109	0.5505
ENSMUSG00000063334	Krr1	ENSMUST00000163048	1140	0.4702
ENSMUSG00000101113	1700025B11Rik	ENSMUST00000190233	279	0.4516
ENSMUSG00000050014	Apol10b	ENSMUST00000089465	1002	0.489
ENSMUSG00000024231	Cul2	ENSMUST00000162301	2235	0.3978
ENSMUSG00000116079	Gm36245	ENSMUST00000230670	279	0.4552
ENSMUSG00000091694	Apol11b	ENSMUST00000166623	1011	0.4926
ENSMUSG00000045382	Cxcr4	ENSMUST00000052172	1077	0.5237
ENSMUSG00000022512	Cldn1	ENSMUST00000023154	633	0.5324
ENSMUSG00000042258	Isl1	ENSMUST00000036060	1047	0.5377
ENSMUSG00000042581	Thsd7b	ENSMUST00000073527	4821	0.5157
ENSMUSG00000033966	Cdkl4	ENSMUST00000086545	1026	0.4669
ENSMUSG00000038148	Cldn16	ENSMUST00000161053	705	0.4908
ENSMUSG00000071716	Apol7e	ENSMUST00000096358	1107	0.5023
ENSMUSG00000032109	Nlrx1	ENSMUST00000034621	2925	0.5911
ENSMUSG00000068246	Apol9b	ENSMUST00000230979	930	0.557
ENSMUSG00000091972	Tmem207	ENSMUST00000165687	429	0.4592
ENSMUSG00000025374	Nabp2	ENSMUST00000166608	684	0.557
ENSMUSG00000071669	Snx29	ENSMUST00000180792	2454	0.544
ENSMUSG00000056656	Apol8	ENSMUST00000089450	1017	0.5674
ENSMUSG00000056692	Ilrun	ENSMUST00000075076	885	0.5288
ENSMUSG00000021621	Zcchc9	ENSMUST00000022121	813	0.4846
ENSMUSG00000022443	Myh9	ENSMUST00000016771	5880	0.5735
ENSMUSG00000021156	Zmynd11	ENSMUST00000110633	1854	0.5092
ENSMUSG00000026401	Cd55b	ENSMUST00000112488	1200	0.4275
ENSMUSG00000042035	Igsf3	ENSMUST00000195164	3642	0.5912
ENSMUSG00000060510	Zfp266	ENSMUST00000174462	1812	0.431
ENSMUSG00000024242	Map4k3	ENSMUST00000112389	2688	0.4658
ENSMUSG00000056888	Glipr1	ENSMUST00000162508	765	0.4405
ENSMUSG00000058192	Zfp846	ENSMUST00000115557	1623	0.4399
ENSMUSG00000039377	Hlx	ENSMUST00000048572	1428	0.6303
ENSMUSG00000028164	Manba	ENSMUST00000029814	2637	0.4983
ENSMUSG00000032340	Neo1	ENSMUST00000068664	4476	0.4902
ENSMUSG00000065979	Cpped1	ENSMUST00000096272	936	0.563
ENSMUSG00000026254	Eif4e2	ENSMUST00000050876	777	0.5071
ENSMUSG00000071454	Dtnb	ENSMUST00000164578	1977	0.5367
ENSMUSG00000072872	Rybp	ENSMUST00000101118	684	0.5205
ENSMUSG00000020213	Glipr1l1	ENSMUST00000073617	708	0.4138
ENSMUSG00000020214	Glipr1l2	ENSMUST00000020434	996	0.4749
ENSMUSG00000033027	Klrc3	ENSMUST00000071149	663	0.4434
ENSMUSG00000005354	Txn2	ENSMUST00000005487	498	0.5522
ENSMUSG00000053175	Bcl3	ENSMUST00000120537	1344	0.6414
ENSMUSG00000022494	Shisa9	ENSMUST00000170672	1272	0.5825
ENSMUSG00000112611	Glipr1l3	ENSMUST00000220085	708	0.3997
ENSMUSG00000025576	Rbfox3	ENSMUST00000017576	1122	0.5838
ENSMUSG00000025373	Rnf41	ENSMUST00000171342	951	0.5731
ENSMUSG00000029695	Aass	ENSMUST00000031707	2778	0.4737
ENSMUSG00000016552	Foxred2	ENSMUST00000016696	1995	0.5709
ENSMUSG00000056586	Zar1l	ENSMUST00000118769	873	0.5269
ENSMUSG00000092216	Gm19345	ENSMUST00000172815	372	0.586
ENSMUSG00000014686	Ceacam16	ENSMUST00000014830	1278	0.5994
ENSMUSG00000022514	Il1rap	ENSMUST00000096129	2055	0.4856
ENSMUSG00000029095	Ablim2	ENSMUST00000129347	1992	0.5743
ENSMUSG00000048897	Zfp710	ENSMUST00000164056	1998	0.5956
ENSMUSG00000024232	Bambi	ENSMUST00000025075	780	0.5333
ENSMUSG00000033161	Atp1a1	ENSMUST00000036493	3069	0.5314
ENSMUSG00000024233	Lyzl1	ENSMUST00000025076	444	0.4595
ENSMUSG00000016554	Eif3d	ENSMUST00000100484	1644	0.542
ENSMUSG00000033960	Jcad	ENSMUST00000037029	3960	0.5235
ENSMUSG00000037984	Neurod6	ENSMUST00000044767	1011	0.4797
ENSMUSG00000024217	Snrpc	ENSMUST00000233657	546	0.6026
ENSMUSG00000096054	Syne1	ENSMUST00000215295	26397	0.5076
ENSMUSG00000029697	Fezf1	ENSMUST00000031709	1425	0.5656
ENSMUSG00000024236	Svil	ENSMUST00000210707	6771	0.5203
ENSMUSG00000037973	Itprid1	ENSMUST00000044729	3102	0.4803
ENSMUSG00000034457	Eda2r	ENSMUST00000037353	891	0.5073
ENSMUSG00000044313	Mab21l3	ENSMUST00000061831	1287	0.5594
ENSMUSG00000024245	Tmem178	ENSMUST00000025092	891	0.596
ENSMUSG00000049848	Ceacam19	ENSMUST00000052605	813	0.5695
ENSMUSG00000024246	Thumpd2	ENSMUST00000025093	1584	0.4937
ENSMUSG00000002930	Ppp1r17	ENSMUST00000052827	477	0.4822
ENSMUSG00000019146	Cacng2	ENSMUST00000019290	969	0.5738
ENSMUSG00000035378	Shq1	ENSMUST00000113312	1707	0.519
ENSMUSG00000030770	Parva	ENSMUST00000106643	1116	0.5242
ENSMUSG00000028063	Lmna	ENSMUST00000029699	1995	0.6221
ENSMUSG00000016637	Ift27	ENSMUST00000016781	558	0.5233
ENSMUSG00000046532	Ar	ENSMUST00000052837	2697	0.5536
ENSMUSG00000039512	Bltp3a	ENSMUST00000114849	4287	0.5762
ENSMUSG00000027242	Wdr76	ENSMUST00000110603	1866	0.4657
ENSMUSG00000000787	Ddx3x	ENSMUST00000000804	1986	0.4627
ENSMUSG00000005716	Pvalb	ENSMUST00000005860	330	0.5091
ENSMUSG00000006389	Mpl	ENSMUST00000006556	1899	0.594
ENSMUSG00000066892	Fbxl12	ENSMUST00000151861	1047	0.6008
ENSMUSG00000052736	Klrc2	ENSMUST00000112057	714	0.4566
ENSMUSG00000022545	Ercc4	ENSMUST00000023206	2751	0.5318
ENSMUSG00000071715	Ncf4	ENSMUST00000096357	1017	0.5585
ENSMUSG00000024218	Taf11	ENSMUST00000114848	633	0.5355
ENSMUSG00000040511	Pvr	ENSMUST00000043517	1224	0.5261
ENSMUSG00000073730	Ppp1r14bl	ENSMUST00000073179	459	0.5773
ENSMUSG00000031214	Ophn1	ENSMUST00000033560	2406	0.4609
ENSMUSG00000025236	Adpgk	ENSMUST00000217570	1488	0.5605
ENSMUSG00000026255	Efhd1	ENSMUST00000118687	720	0.6111
ENSMUSG00000024247	Pkdcc	ENSMUST00000170794	1476	0.6694
ENSMUSG00000071714	Csf2rb2	ENSMUST00000096356	2634	0.5615
ENSMUSG00000068428	Gmnc	ENSMUST00000089832	1017	0.4779
ENSMUSG00000040498	Igsf23	ENSMUST00000043440	717	0.5649
ENSMUSG00000026158	Ogfrl1	ENSMUST00000027343	1392	0.5
ENSMUSG00000030167	Klrc1	ENSMUST00000032270	732	0.4385
ENSMUSG00000024219	Anks1	ENSMUST00000025058	3567	0.5946
ENSMUSG00000030541	Idh2	ENSMUST00000107384	1356	0.5612
ENSMUSG00000026156	B3gat2	ENSMUST00000063663	972	0.6008
ENSMUSG00000035692	Isg15	ENSMUST00000085425	483	0.5714
ENSMUSG00000052276	Ostn	ENSMUST00000066852	390	0.4923
ENSMUSG00000078486	Perm1	ENSMUST00000105572	2421	0.5622
ENSMUSG00000032131	Abcg4	ENSMUST00000034648	1938	0.5645
ENSMUSG00000053702	Nebl	ENSMUST00000124270	3042	0.4421
ENSMUSG00000033191	Tie1	ENSMUST00000047421	3402	0.5826
ENSMUSG00000056423	Uts2b	ENSMUST00000070531	339	0.4454
ENSMUSG00000073481	Mtarc2	ENSMUST00000068725	1014	0.5631
ENSMUSG00000009569	Mrtfb	ENSMUST00000009713	3273	0.5371
ENSMUSG00000022986	Krt75	ENSMUST00000042957	1653	0.5675
ENSMUSG00000064232	Gm5414	ENSMUST00000062879	1656	0.5302
ENSMUSG00000070777	Ceacam20	ENSMUST00000094753	1731	0.5419
ENSMUSG00000018500	Adora2b	ENSMUST00000018644	996	0.5622
ENSMUSG00000067610	Klri1	ENSMUST00000088046	744	0.414
ENSMUSG00000095241	Gm5478	ENSMUST00000229963	1605	0.5414
ENSMUSG00000040405	Havcr1	ENSMUST00000047568	915	0.4754
ENSMUSG00000039349	C130074G19Rik	ENSMUST00000048308	423	0.6667
ENSMUSG00000051228	Nyx	ENSMUST00000050434	1428	0.6702
ENSMUSG00000043932	Klri2	ENSMUST00000050385	744	0.3938
